time	id	name	score	json_payload
2015-10-11 08:06:23 +0900	0	Avis Lind	-3256.869635206057	{"phone_numbers":"1-276-220-7263","app_id":0,"point":-1601.6890336884562,"created_at":"2015-10-07 20:23:57 +0900","profile":{"like_words":["maiores","eum","aut"],"anniversary":{"voluptatem":"dolor","et":"ullam"}}}
2015-10-10 20:10:32 +0900	1	Edythe Bartell	1854.475677760671	{"phone_numbers":"553.980.4072","app_id":9,"point":119.36847814392212,"created_at":"2015-10-06 03:43:52 +0900","profile":{"like_words":["nobis","ad","est"],"anniversary":{"rerum":"inventore","deleniti":"numquam"}}}
2015-10-09 18:57:11 +0900	2	Mabel Kreiger Sr.	-2930.0214667621676	{"phone_numbers":"267-437-9081","app_id":14,"point":-272.41081832483815,"created_at":"2015-10-07 11:53:53 +0900","profile":{"like_words":["itaque","aut","in"],"anniversary":{"eveniet":"in","id":"sit"}}}
2015-10-11 08:34:20 +0900	3	Jeffry Schowalter	3722.368084343345	{"phone_numbers":"639.217.7325","app_id":0,"point":3928.1109653627186,"created_at":"2015-10-09 08:43:59 +0900","profile":{"like_words":["a","molestiae","iure"],"anniversary":{"non":"harum","dolorem":"provident"}}}
2015-10-08 02:46:53 +0900	4	Erwin Cole	-530.0773717850907	{"phone_numbers":"590.289.2473","app_id":36,"point":-4153.016432643382,"created_at":"2015-10-06 13:15:47 +0900","profile":{"like_words":["quisquam","quasi","a"],"anniversary":{"ducimus":"veritatis","vel":"in"}}}
2015-10-07 17:27:11 +0900	5	Herman Murazik I	2858.9098009497147	{"phone_numbers":"(196) 116-8976","app_id":0,"point":852.1366833369701,"created_at":"2015-10-09 11:06:36 +0900","profile":{"like_words":["maxime","ad","sunt"],"anniversary":{"molestiae":"architecto","temporibus":"quia"}}}
2015-10-06 10:33:22 +0900	6	Kaley Fritsch	-4170.738141376422	{"phone_numbers":"597.359.0615","app_id":48,"point":-2299.7034880139254,"created_at":"2015-10-07 08:14:01 +0900","profile":{"like_words":["eum","dolor","beatae"],"anniversary":{"fugit":"incidunt","provident":"doloremque"}}}
2015-10-06 18:52:38 +0900	7	Dr. Everett Gottlieb	3025.8442146041184	{"phone_numbers":"1-108-635-0095","app_id":28,"point":3999.8707818258176,"created_at":"2015-10-11 14:53:52 +0900","profile":{"like_words":["ea","minus","sit"],"anniversary":{"accusamus":"voluptate","omnis":"odio"}}}
2015-10-10 19:03:47 +0900	8	Freda Lehner	-2834.632764837081	{"phone_numbers":"282.908.3908","app_id":48,"point":-2690.3089130787753,"created_at":"2015-10-11 21:20:47 +0900","profile":{"like_words":["voluptas","consequatur","occaecati"],"anniversary":{"delectus":"ipsa","dolorem":"qui"}}}
2015-10-10 15:37:57 +0900	9	Brennon Zboncak	206.72213107748473	{"phone_numbers":"1-397-425-1652","app_id":63,"point":989.609974671026,"created_at":"2015-10-06 13:00:24 +0900","profile":{"like_words":["facere","optio","veniam"],"anniversary":{"perferendis":"quas","cupiditate":"est"}}}
2015-10-07 20:18:52 +0900	10	Rudolph Predovic DVM	-3884.3771566451423	{"phone_numbers":"1-389-001-8529","app_id":20,"point":-3669.9152918427744,"created_at":"2015-10-06 03:31:58 +0900","profile":{"like_words":["accusantium","qui","iure"],"anniversary":{"eaque":"possimus","et":"cumque"}}}
2015-10-09 02:05:22 +0900	11	Etha Hirthe	2467.945406584426	{"phone_numbers":"315-155-2339","app_id":22,"point":4428.215301393835,"created_at":"2015-10-07 18:11:24 +0900","profile":{"like_words":["et","ea","ratione"],"anniversary":{"dolorem":"est","sunt":"consequatur"}}}
2015-10-07 23:52:31 +0900	12	Sallie Ankunding V	-3441.0370623067192	{"phone_numbers":"681-141-4345","app_id":60,"point":-1071.645070483149,"created_at":"2015-10-11 00:29:33 +0900","profile":{"like_words":["alias","facere","sint"],"anniversary":{"molestiae":"provident","sapiente":"rerum"}}}
2015-10-06 03:04:20 +0900	13	Mrs. Miguel Hermann	1521.8619752514212	{"phone_numbers":"329.399.9089","app_id":13,"point":970.1380743174367,"created_at":"2015-10-06 04:11:03 +0900","profile":{"like_words":["aut","voluptatem","nesciunt"],"anniversary":{"soluta":"asperiores","et":"et"}}}
